01,per_all_people_f,201901,20190103,34
02,122,20-10-17,31-12-12,0,6,轿颁禄,20-10-17,,,,,,,,Y,Y,,,,7,H,,,,轿颁禄,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-10-17,1132,75692,1132,20-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,10045,,,轿颁禄,轿颁禄,
02,262,20-11-17,31-12-12,0,6,张荇,20-11-17,,,,,,,,Y,Y,,,,17,H,,,,张荇,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,ICBC0000001,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-04-18,1130,88853,1130,22-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,22046,,,张荇,张荇,
02,202,10-11-17,31-12-12,0,6,汉得,10-11-17,,,,,,,,Y,Y,,,,12,,,,,汉得,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-11-17,1132,78576,1132,10-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,16055,,,汉得,汉得,
02,322,10-07-18,31-12-12,0,6,王晓春,10-07-18,,,,,,,,Y,Y,,,,24,H,,,,王晓春,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,110000429,BJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-07-18,0,92143,0,10-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,24053,,,王晓春,王晓春,
02,182,03-11-17,31-12-12,0,6,刘福清,03-11-17,,,,,,,,Y,Y,,,,11,H,,,,刘福清,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03-11-17,1132,77999,1132,03-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,15052,,,刘福清,刘福清,
02,402,01-01-17,31-12-12,0,6,易,01-01-17,,,,,,,,Y,Y,,,,30,H,,,,易,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,BJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-12-18,1132,102015,1132,04-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,31045,,,易,易,
02,162,15-10-17,31-12-12,0,6,牛雅君,15-10-17,,,,,,,,Y,Y,,,,9,H,,,,牛雅君,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,HANDTEST001,BJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22-11-18,1132,100823,1132,27-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,14044,,,牛雅君,牛雅君,
02,163,27-10-17,31-12-12,0,6,牛雅君（失效）,27-10-17,,,,,,,,Y,Y,,,,10,H,,,,牛雅君（失效）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HANDTEST002,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22-11-18,1132,100823,1132,27-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,14045,,,牛雅君（失效）,牛雅君（失效）,
02,222,30-11-17,31-12-12,0,6,罗皓,30-11-17,,,,,,,,Y,Y,,,,13,H,,,,罗皓,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-11-17,1132,80422,1132,30-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,19044,,,罗皓,罗皓,
02,223,30-11-17,31-12-12,0,6,栾晓璞,30-11-17,,,,,,,,Y,Y,,,,14,H,,,,栾晓璞,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-11-17,1132,80422,1132,30-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,19045,,,栾晓璞,栾晓璞,
